project_child_id,ref_age_class,ref_source,ref_source_ode,outcome
157657,ECSE,primary,Parents/Family,p
152734,EI,primary,CAPTA,ia
152734,EI,primary,CAPTA,ia
152734,EI,primary,Parents/Family,ia
152734,ECSE,primary,Healthy Families Oregon,p
152734,ECSE,secondary,Other DHS,
159280,EI,primary,CAPTA,ia
159280,EI,primary,CAPTA,ia
159280,EI,primary,CAPTA,ia
159280,EI,secondary,Parents/Family,
159280,ECSE,primary,Other,p
156774,EI,primary,Physician/Clinic,ia
156774,EI,primary,Other,ia
156774,EI,primary,Parents/Family,ia
156774,EI to ECSE,primary,Parents/Family,p
159313,EI,primary,Other,p
152154,EI,primary,Physician/Clinic,ia
152154,EI,primary,Head Start,p
159587,EI,primary,Hospital,p
159587,EI,primary,Physician/Clinic,p
152568,EI,primary,Hospital,p
152568,EI,secondary,CAPTA,
152568,ECSE,primary,Other,p
154411,EI,primary,Hospital,p
154411,EI,secondary,CAPTA,
154411,ECSE,primary,Head Start,ia
154411,ECSE,primary,Other,ia
154411,ECSE,primary,Parents/Family,p
152086,EI,primary,Parents/Family,p
157346,EI,primary,Parents/Family,p
157346,EI,secondary,CAPTA,
157346,EI,secondary,EHDI,
157665,EI,primary,Parents/Family,p
157665,EI,secondary,CAPTA,
150531,EI,primary,Hospital,ia
150531,ECSE,primary,Physician/Clinic,p
155695,EI,primary,Hospital,p
158203,EI,primary,Parents/Family,ia
158203,EI,primary,Parents/Family,ia
158203,EI,primary,Parents/Family,p
158203,ECSE,primary,Physician/Clinic,p
156581,EI,primary,Parents/Family,p
152730,EI,primary,CAPTA,ia
152730,EI,primary,CAPTA,ia
152730,EI,primary,Physician/Clinic,p
156506,EI,primary,Physician/Clinic,ia
156506,EI,primary,Physician/Clinic,p
156506,ECSE,primary,Physician/Clinic,ia
156506,EI to KG,primary,Head Start,p
167405,EI,primary,Physician/Clinic,p
161468,EI,primary,Physician/Clinic,ia
161468,ECSE,primary,Parents/Family,p
168879,EI,primary,Physician/Clinic,ia
168879,EI to ECSE,primary,Parents/Family,ia
168879,ECSE,primary,Other,ia
168879,EI to KG,primary,Childcare/Preschool,ia
168879,EI to KG,secondary,Physician/Clinic,
168879,EI to KG,primary,Childcare/Preschool,p
161128,EI,primary,Parents/Family,ia
161128,EI,secondary,Physician/Clinic,
161128,EI,primary,Other,ia
161128,EI,secondary,Physician/Clinic,
161128,EI to KG,primary,Parents/Family,p
163147,EI,primary,Physician/Clinic,p
163147,EI,secondary,EHDI,
168590,EI,primary,Hospital,ia
168590,EI to KG,primary,Physician/Clinic,p
161056,EI,primary,Parents/Family,p
168726,EI,primary,Physician/Clinic,ia
168726,EI,primary,Other,p
161500,EI,primary,CAPTA,ia
161500,EI,primary,CAPTA,ia
161500,ECSE,primary,Head Start,p
161064,EI,primary,Physician/Clinic,ia
161064,EI,primary,Other,p
166282,EI,primary,Hospital,p
166282,EI to KG,primary,Parents/Family,p
165559,EI,primary,CAPTA,ia
165559,EI,primary,Other,ia
165559,EI,primary,Parents/Family,p
160460,EI,primary,Physician/Clinic,ia
160460,ECSE,primary,Parents/Family,p
161577,EI,primary,Physician/Clinic,ia
161577,EI,primary,Physician/Clinic,ia
161577,EI,primary,Physician/Clinic,ia
161577,EI,primary,Physician/Clinic,ia
161577,ECSE,primary,Physician/Clinic,p
168481,EI,primary,Physician/Clinic,ia
168481,EI,primary,Other,ia
168481,EI,primary,Other,ia
168481,ECSE,primary,Healthy Families Oregon,p
160996,EI,primary,Hospital,p
160996,EI,primary,Physician/Clinic,ia
160996,EI,primary,Physician/Clinic,ia
160996,EI,primary,Head Start,ia
160996,EI to ECSE,primary,Other,ia
160996,ECSE,primary,Other DHS,ia
160996,ECSE,primary,Head Start,p
165242,EI,primary,Physician/Clinic,ia
165242,EI,primary,Parents/Family,p
166392,EI,primary,Physician/Clinic,ia
166392,EI,secondary,Hospital,
166392,EI,primary,Parents/Family,p
166392,EI,secondary,Physician/Clinic,
166392,EI,primary,Parents/Family,p
166392,ECSE,primary,Parents/Family,p
165888,EI,primary,Physician/Clinic,p
165888,EI,secondary,Head Start,
165888,EI to ECSE,primary,Parents/Family,p
165608,EI,primary,Physician/Clinic,ia
165608,EI,primary,Physician/Clinic,ia
165608,EI,primary,Parents/Family,p
165608,ECSE,primary,Head Start,p
163601,EI,primary,Physician/Clinic,ia
163601,EI,primary,Parents/Family,ia
163601,EI to ECSE,primary,Parents/Family,p
161319,EI,primary,Parents/Family,ia
161319,EI,primary,Parents/Family,ia
161319,ECSE,primary,Other,p
169783,EI,primary,CAPTA,ia
169783,EI,primary,Parents/Family,ia
169783,EI,primary,Parents/Family,ia
169783,ECSE,primary,Parents/Family,p
164222,EI,primary,Parents/Family,ia
164222,EI,primary,Other,ia
164222,EI,primary,Parents/Family,ia
164222,EI,primary,Parents/Family,ia
164222,ECSE,primary,Parents/Family,p
165978,EI,primary,Physician/Clinic,ia
165978,EI,primary,Physician/Clinic,p
165149,EI,primary,Physician/Clinic,ia
165149,EI,primary,Parents/Family,ia
165149,ECSE,primary,Parents/Family,p
162563,EI,primary,CAPTA,ia
162563,EI,primary,CAPTA,ia
162563,EI to ECSE,primary,Other,p
163424,EI,primary,Physician/Clinic,ia
163424,ECSE,primary,Physician/Clinic,ia
163424,ECSE,primary,Parents/Family,p
164577,EI,primary,Physician/Clinic,p
164577,ECSE,primary,Parents/Family,p
165878,EI,primary,Public Health,p
165878,EI to KG,primary,Childcare/Preschool,p
160610,EI,primary,Parents/Family,p
165790,EI,primary,Parents/Family,ia
165790,EI,secondary,Physician/Clinic,
165790,EI,primary,Parents/Family,p
165790,EI,secondary,EHDI,
161222,EI,primary,CAPTA,ia
161222,EI,primary,Other,ia
161222,EI,primary,Physician/Clinic,ia
161222,EI,primary,Other,ia
161222,EI to ECSE,primary,Other,p
161222,ECSE,secondary,Physician/Clinic,
166295,EI,primary,Parents/Family,p
165902,EI,primary,Physician/Clinic,ia
165902,ECSE,primary,Head Start,p
163907,EI,primary,Parents/Family,p
161101,EI,primary,Hospital,p
161101,EI,secondary,Public Health,
161101,ECSE,primary,Physician/Clinic,p
164738,EI,primary,Physician/Clinic,ia
164738,EI,primary,Physician/Clinic,p
167033,EI,primary,Physician/Clinic,ia
167033,EI,primary,Physician/Clinic,ia
167033,EI,primary,Hospital,ia
167033,EI,primary,Parents/Family,p
160662,EI,primary,CAPTA,ia
160662,EI,primary,Physician/Clinic,ia
160662,EI,primary,Parents/Family,p
160662,EI to ECSE,primary,Parents/Family,p
169077,EI,primary,Physician/Clinic,ia
169077,EI,primary,Other,ia
169077,EI,primary,Physician/Clinic,ia
169077,EI,primary,Parents/Family,p
169077,ECSE,primary,Head Start,p
162922,EI,primary,Physician/Clinic,ia
162922,EI,primary,Parents/Family,ia
162922,EI,primary,Parents/Family,ia
162922,EI to ECSE,primary,CAPTA,p
160051,EI,primary,Physician/Clinic,ia
160051,EI,primary,Physician/Clinic,ia
160051,EI,primary,Healthy Families Oregon,p
164418,EI,primary,Hospital,p
166932,EI,primary,Parents/Family,p
160061,EI,primary,Physician/Clinic,ia
160061,EI,primary,Other,p
160061,ECSE,secondary,Physician/Clinic,
164503,EI,primary,Physician/Clinic,ia
164503,EI,primary,Physician/Clinic,ia
164503,EI,primary,Parents/Family,p
161987,EI,primary,Physician/Clinic,ia
161987,ECSE,primary,Childcare/Preschool,p
161987,EI to KG,primary,Parents/Family,p
160025,EI,primary,Physician/Clinic,ia
160025,EI,primary,Physician/Clinic,p
168536,EI,primary,Physician/Clinic,p
168536,EI,secondary,Physician/Clinic,
162937,EI,primary,Physician/Clinic,ia
162937,EI,primary,Parents/Family,p
160248,EI,primary,Physician/Clinic,ia
160248,EI,primary,Other,p
165554,EI,primary,Parents/Family,ia
165554,EI to KG,primary,Parents/Family,p
162040,EI,primary,Physician/Clinic,ia
162040,EI,primary,Other,ia
162040,ECSE,primary,Parents/Family,p
164334,EI,primary,CAPTA,ia
164334,EI,primary,Physician/Clinic,p
161918,EI,primary,Physician/Clinic,p
163788,EI,primary,Physician/Clinic,ia
163788,EI,primary,Parents/Family,ia
163788,EI to KG,primary,Head Start,p
167225,EI,primary,Parents/Family,p
166128,EI,primary,Hospital,ia
166128,EI,primary,Parents/Family,p
166128,EI,secondary,CAPTA,
166128,EI,primary,Physician/Clinic,ia
166128,EI,secondary,Parents/Family,
166587,EI,primary,Parents/Family,ia
166587,ECSE,primary,Head Start,p
160880,EI,primary,Parents/Family,p
160880,ECSE,primary,Parents/Family,p
165048,EI,primary,Parents/Family,p
162476,EI,primary,Physician/Clinic,ia
162476,EI,primary,Parents/Family,p
169634,EI,primary,Physician/Clinic,ia
169634,EI,primary,Physician/Clinic,p
162009,EI,primary,Parents/Family,ia
162009,EI,primary,Parents/Family,ia
162009,EI,primary,Physician/Clinic,ia
162009,EI,primary,Parents/Family,ia
162009,EI,primary,Parents/Family,p
166209,EI,primary,Parents/Family,ia
166209,EI,primary,Healthy Families Oregon,p
166209,ECSE,primary,Head Start,p
165080,EI,primary,Healthy Families Oregon,ia
165080,EI,primary,Physician/Clinic,p
165189,EI,primary,Physician/Clinic,ia
165189,EI,primary,Physician/Clinic,ia
165189,ECSE,primary,Childcare/Preschool,p
168627,EI,primary,Physician/Clinic,ia
168627,EI,primary,Parents/Family,p
160875,EI,primary,Parents/Family,ia
160875,EI,secondary,Public Health,
160875,EI,primary,Parents/Family,ia
160875,EI,primary,Parents/Family,ia
160875,EI,primary,Other,ia
160875,EI,primary,Other,ia
160875,ECSE,primary,Parents/Family,ia
160875,ECSE,primary,Healthy Families Oregon,p
165091,EI,primary,Physician/Clinic,ia
165091,EI,primary,Parents/Family,ia
165091,EI to ECSE,primary,Parents/Family,p
160396,EI,primary,EHDI,p
161633,EI,primary,Physician/Clinic,ia
161633,EI,secondary,Public Health,
161633,EI to KG,primary,Childcare/Preschool,p
162784,EI,primary,Physician/Clinic,ia
162784,EI,primary,Other,p
162815,EI,primary,CAPTA,ia
162815,EI,primary,Physician/Clinic,ia
162815,EI,primary,Parents/Family,ia
162815,EI to ECSE,primary,Parents/Family,p
169124,EI,primary,Physician/Clinic,ia
169124,EI to ECSE,primary,Parents/Family,p
165281,EI,primary,Physician/Clinic,ia
165281,ECSE,primary,Other,p
163695,EI,primary,Parents/Family,p
163695,EI,secondary,Physician/Clinic,
162096,EI,primary,Physician/Clinic,p
169629,EI,primary,Physician/Clinic,ia
169629,ECSE,primary,Parents/Family,p
160516,EI,primary,Parents/Family,ia
160516,EI,primary,CAPTA,ia
160516,EI,primary,CAPTA,ia
160516,EI,primary,Physician/Clinic,ia
160516,EI,primary,Parents/Family,ia
160516,ECSE,primary,Parents/Family,p
164277,EI,primary,Parents/Family,ia
164277,EI,primary,Other,p
164277,EI,primary,Physician/Clinic,p
167004,EI,primary,Physician/Clinic,ia
167004,EI,primary,Physician/Clinic,ia
167004,EI,primary,Parents/Family,p
163637,EI,primary,Physician/Clinic,ia
163637,EI,primary,Parents/Family,ia
163637,EI,primary,Parents/Family,ia
163637,EI,primary,Physician/Clinic,ia
163637,EI,primary,Physician/Clinic,ia
163637,EI to KG,primary,Physician/Clinic,p
161175,EI,primary,CAPTA,p
161141,EI,primary,Physician/Clinic,p
164254,EI,primary,Parents/Family,ia
164254,EI,primary,Other,p
164254,EI to ECSE,secondary,Healthy Families Oregon,
166253,EI,primary,Physician/Clinic,ia
166253,EI,primary,Parents/Family,p
166253,ECSE,primary,Parents/Family,p
167019,EI,primary,Physician/Clinic,ia
167019,EI,primary,Other,ia
167019,EI,primary,Other,ia
167019,EI,primary,Parents/Family,p
169705,EI,primary,Physician/Clinic,ia
169705,EI,primary,Parents/Family,p
163742,EI,primary,Physician/Clinic,ia
163742,EI,primary,Other,ia
163742,EI to ECSE,primary,Other,p
162432,EI,primary,Physician/Clinic,ia
162432,EI,primary,Other,ia
162432,EI,primary,Physician/Clinic,p
164102,EI,primary,Other EI/ECSE program,ia
164102,EI,primary,Physician/Clinic,ia
164102,EI,primary,Parents/Family,p
164102,EI,secondary,Physician/Clinic,
160350,EI,primary,EHDI,p
160350,EI,secondary,Public Health,
168829,EI,primary,Physician/Clinic,ia
168829,EI to KG,primary,Childcare/Preschool,p
165833,EI,primary,Parents/Family,ia
165833,EI,primary,Parents/Family,p
160041,EI,primary,Parents/Family,ia
160041,EI,primary,Physician/Clinic,p
160302,EI,primary,Head Start,ia
160302,EI,primary,Physician/Clinic,ia
160302,EI,primary,Other,p
165382,EI,primary,Physician/Clinic,p
165382,EI,secondary,Physician/Clinic,
168138,EI,primary,Physician/Clinic,p
168138,EI,secondary,Physician/Clinic,
167389,EI,primary,Physician/Clinic,ia
167389,EI,primary,Physician/Clinic,ia
167389,EI,primary,Other,p
165660,EI,primary,Physician/Clinic,p
163770,EI,primary,Parents/Family,p
166461,EI,primary,Physician/Clinic,ia
166461,EI,primary,Other,ia
166461,EI to ECSE,primary,Childcare/Preschool,p
166461,EI to ECSE,secondary,Physician/Clinic,
168347,EI,primary,Healthy Families Oregon,ia
168347,EI,primary,Parents/Family,ia
168347,EI,primary,Other,ia
168347,EI,primary,Parents/Family,p
161449,EI,primary,Hospital,p
167189,EI,primary,Physician/Clinic,ia
167189,EI,primary,Other,p
164228,EI,primary,Physician/Clinic,p
163649,EI,primary,Hospital,p
163649,EI,secondary,Physician/Clinic,
163649,EI,secondary,CAPTA,
163649,ECSE,primary,Parents/Family,ia
168964,EI,primary,CAPTA,ia
168964,EI,primary,Physician/Clinic,ia
168964,EI,primary,Physician/Clinic,ia
168964,EI,primary,Parents/Family,ia
168964,ECSE,primary,Other DHS,p
168964,ECSE,secondary,Physician/Clinic,
165386,EI,primary,Parents/Family,ia
165386,EI,primary,Other,ia
165386,EI,primary,Physician/Clinic,ia
165386,ECSE,primary,Other,p
164944,EI,primary,Other,p
164944,EI,secondary,Physician/Clinic,
164944,EI,secondary,Physician/Clinic,
164944,EI,primary,Physician/Clinic,p
164944,ECSE,secondary,Physician/Clinic,
160001,EI,primary,Hospital,p
160001,EI,secondary,Physician/Clinic,
169790,EI,primary,Physician/Clinic,ia
169790,EI to KG,primary,Childcare/Preschool,p
179708,EI,primary,Public Health,p
179708,ECSE,primary,Head Start,p
171677,EI,primary,Hospital,ia
171677,EI,primary,Other,p
172787,EI,primary,Physician/Clinic,ia
172787,EI,primary,Physician/Clinic,p
170243,EI,primary,Hospital,p
170243,EI,primary,Physician/Clinic,p
170243,EI,secondary,Physician/Clinic,
170243,ECSE,primary,Parents/Family,p
178790,EI,primary,Physician/Clinic,ia
178790,EI,primary,Other,ia
178790,ECSE,primary,Head Start,p
170444,EI,primary,Healthy Families Oregon,ia
170444,EI,primary,Other,ia
170444,EI,primary,Healthy Families Oregon,p
178398,EI,primary,Physician/Clinic,ia
178398,ECSE,primary,Parents/Family,ia
178398,ECSE,primary,Parents/Family,p
173735,EI,primary,CAPTA,ia
173735,EI,primary,Parents/Family,ia
173735,EI,primary,Parents/Family,p
173735,EI,secondary,Physician/Clinic,
173735,ECSE,primary,Parents/Family,p
172291,EI,primary,Physician/Clinic,ia
172291,EI,primary,Other,ia
172291,ECSE,primary,Physician/Clinic,p
172291,ECSE,primary,Parents/Family,p
172291,EI to KG,primary,Parents/Family,p
178870,EI,primary,Childcare/Preschool,ia
178870,EI,primary,Parents/Family,ia
178870,EI,primary,Healthy Families Oregon,ia
178870,ECSE,primary,Parents/Family,ia
178870,ECSE,primary,Other DHS,p
178870,EI to KG,secondary,Other DHS,
171630,EI,primary,Physician/Clinic,ia
171630,EI,primary,Other,ia
171630,EI,primary,Physician/Clinic,ia
171630,EI to ECSE,primary,Other,p
172046,EI,primary,Public Health,p
170747,EI,primary,Parents/Family,ia
170747,EI,primary,Physician/Clinic,p
173363,EI,primary,Parents/Family,p
179507,EI,primary,Parents/Family,p
176170,EI,primary,Physician/Clinic,ia
176170,EI,primary,Physician/Clinic,p
176170,EI,secondary,Physician/Clinic,
176170,EI to KG,primary,Parents/Family,etm
172598,EI,primary,Physician/Clinic,ia
172598,EI,primary,Parents/Family,ia
172598,ECSE,primary,Physician/Clinic,ia
172598,ECSE,primary,Parents/Family,p
172329,EI,primary,Parents/Family,p
172930,EI,primary,Physician/Clinic,ia
172930,EI,primary,Other,ia
172930,EI,primary,Other,ia
172930,ECSE,primary,Other,p
177667,EI,primary,Physician/Clinic,p
171231,EI,primary,Physician/Clinic,ia
171231,EI,primary,Parents/Family,ia
171231,ECSE,primary,Childcare/Preschool,ia
171231,ECSE,primary,Parents/Family,p
179271,EI,primary,CAPTA,ia
179271,EI,primary,Parents/Family,p
179271,ECSE,secondary,CAPTA,
174101,EI,primary,Parents/Family,ia
174101,EI,primary,Other,p
177901,EI,primary,Physician/Clinic,p
178784,EI,primary,Parents/Family,ia
178784,EI,primary,Parents/Family,p
178073,EI,primary,Physician/Clinic,p
178968,EI,primary,Physician/Clinic,p
173206,EI,primary,Physician/Clinic,p
173206,EI,secondary,EHDI,
175813,EI,primary,Physician/Clinic,p
175813,EI,primary,Parents/Family,p
175085,EI,primary,Hospital,p
175085,EI,secondary,CAPTA,
175085,EI,secondary,CAPTA,
175085,ECSE,primary,Head Start,p
177447,EI,primary,Hospital,p
177447,EI,secondary,CAPTA,
177447,EI,secondary,CAPTA,
177447,ECSE,primary,Head Start,p
170479,EI,primary,Healthy Families Oregon,ia
170479,EI,primary,Other,ia
170479,ECSE,primary,Other,ia
170479,ECSE,primary,Other,ia
170479,ECSE,primary,Parents/Family,p
175652,EI,primary,CAPTA,ia
175652,EI,primary,Other,ia
175652,ECSE,primary,Head Start,p
173937,EI,primary,Hospital,p
179006,EI,primary,CAPTA,ia
179006,EI,primary,Other,ia
179006,EI,primary,Other,ia
179006,EI,primary,Other,p
176888,EI,primary,CAPTA,p
175549,EI,primary,Physician/Clinic,ia
175549,ECSE,primary,Physician/Clinic,p
179559,EI,primary,Physician/Clinic,ia
179559,EI,primary,Physician/Clinic,ia
179559,EI,primary,Other,p
172788,EI,primary,Parents/Family,p
174825,EI,primary,CAPTA,ia
174825,EI,primary,Private Therapy,ia
174825,EI,primary,CAPTA,ia
174825,EI,primary,Other,ia
174825,EI to ECSE,primary,Other,ia
174825,ECSE,primary,Head Start,p
174825,ECSE,secondary,Other DHS,
173208,EI,primary,Physician/Clinic,ia
173208,EI,primary,Parents/Family,ia
173208,EI,primary,Parents/Family,ia
173208,EI to ECSE,primary,Parents/Family,p
171723,EI,primary,CAPTA,ia
171723,EI,primary,Parents/Family,p
179766,EI,primary,CAPTA,ia
179766,EI,primary,Parents/Family,ia
179766,EI,primary,Parents/Family,ia
179766,EI,primary,Physician/Clinic,p
179974,EI,primary,Hospital,p
179974,EI,secondary,CAPTA,
179974,ECSE,primary,Parents/Family,p
178059,EI,primary,Physician/Clinic,ia
178059,ECSE,primary,Childcare/Preschool,p
179517,EI,primary,Physician/Clinic,ia
179517,EI,primary,Other,ia
179517,EI,primary,Parents/Family,p
170295,EI,primary,Hospital,ia
170295,EI,primary,Parents/Family,p
171403,EI,primary,CAPTA,p
171403,EI,secondary,Hospital,
178051,EI,primary,CAPTA,ia
178051,EI,primary,Parents/Family,ia
